phrase,id,position,corresponding_text
The name had passedalways from father to son,42,2021," The name had passedalways from father to son,"
and when people spoke of the “House ofUsher,43,2067," and when people spoke of the “House ofUsher,"
” they included both the family and the family home,44,2112,"” they included both the family and the family home.
"
I again looked up from the picture of the house reflected in thelake to the house itself,45,2165,"I again looked up from the picture of the house reflected in thelake to the house itself.
"
A strange idea grew in my mind — an idea sostrange that I tell it only to show the force of the feelings which laidtheir weight on me,46,2255," A strange idea grew in my mind — an idea sostrange that I tell it only to show the force of the feelings which laidtheir weight on me.
"
I really believed that around the whole house,47,2391," I really believed that around the whole house,"
and the ground around it,48,2438,"and the ground around it,"
the air itself was different,49,2463," the air itself was different.
"
It was not the airof heaven,50,2494," It was not the airof heaven.
"
It rose from the dead,51,2524," It rose from the dead,"
decaying trees,52,2547," decaying trees,"
from the gray walls,53,2563," from the gray walls,"
and the quiet lake,54,2584,"and the quiet lake.
"
It was a sickly,55,2604," It was a sickly,"
unhealthy air that I could see,56,2621," unhealthy air that I could see,"
slow-moving,57,2653,"slow-moving,"
heavy,58,2665," heavy,"
and gray,59,2672," and gray.
"
Shaking off from my spirit what must have been a dream,60,2683,"Shaking off from my spirit what must have been a dream,"
I lookedmore carefully at the building itself,61,2738," I lookedmore carefully at the building itself.
"
The most noticeable thing aboutit seemed to be its great age,62,2786," The most noticeable thing aboutit seemed to be its great age.
"
None of the walls had fallen,63,2849," None of the walls had fallen,"
yet thestones appeared to be in a condition of advanced decay,64,2879," yet thestones appeared to be in a condition of advanced decay.
"
Perhaps thecareful eye would have discovered the beginning of a break in thefront of the building,65,2943," Perhaps thecareful eye would have discovered the beginning of a break in thefront of the building,"
a crack making its way from the top down thewall until it became lost in the dark waters of the lake,66,3042," a crack making its way from the top down thewall until it became lost in the dark waters of the lake.
"
I rode over a short bridge to the house,67,3145,"I rode over a short bridge to the house.
"
A man who worked in thehouse — a servant — took my horse,68,3186," A man who worked in thehouse — a servant — took my horse,"
and I entered,69,3244," and I entered.
"
Another servant,70,3260," Another servant,"
of quiet step,71,3277,"of quiet step,"
led me without a word through many dark turnings tothe room of his master,72,3291," led me without a word through many dark turnings tothe room of his master.
"
Much that I met on the way added,73,3367," Much that I met on the way added,"
I do notknow how,74,3401," I do notknow how,"
to the strangeness of which I have already spoken,75,3419," to the strangeness of which I have already spoken.
"
Whilethe objects around me — the dark wall coverings,76,3471," Whilethe objects around me — the dark wall coverings,"
the blackness ofthe floors,77,3525," the blackness ofthe floors,"
and the things brought home from long forgotten wars —while these things were like the things I had known since I was a baby— while I admitted that all this was only what I had expected — I wasstill surprised at the strange ideas which grew in my mind from thesesimple things,78,3553," and the things brought home from long forgotten wars —while these things were like the things I had known since I was a baby— while I admitted that all this was only what I had expected — I wasstill surprised at the strange ideas which grew in my mind from thesesimple things.
"
The room I came into was very large and high,79,3831,"The room I came into was very large and high.
"
The windows werehigh,80,3877," The windows werehigh,"
and pointed at the top,81,3899," and pointed at the top,"
and so far above the black floor that theywere quite out of reach,82,3923," and so far above the black floor that theywere quite out of reach.
"
Only a little light,83,3991," Only a little light,"
red in color,84,4012," red in color,"
made its waythrough the glass,85,4026," made its waythrough the glass,"
and served to lighten the nearer and larger objects,86,4057," and served to lighten the nearer and larger objects.
"
My eyes,87,4111,"My eyes,"
however,88,4119," however,"
tried and failed to see into the far,89,4128," tried and failed to see into the far,"
high corners ofthe room,90,4166," high corners ofthe room.
"
