phrase,id,position,corresponding_text
A trembling I could not stop filled my body,385,16281," A trembling I could not stop filled my body,"
and fear without reason caught my heart,386,16326,"and fear without reason caught my heart.
"
I sat up,387,16367," I sat up,"
looking into thedarkness of my room,388,16377," looking into thedarkness of my room,"
listening — I do not know why — to certain lowsounds which came when the storm was quiet,389,16414," listening — I do not know why — to certain lowsounds which came when the storm was quiet.
"
A feeling of horror layupon me like a heavy weight,390,16505," A feeling of horror layupon me like a heavy weight.
"
I put on my clothes and began walkingnervously around the room,391,16558," I put on my clothes and began walkingnervously around the room.
"
I had been walking for a very short time when I heard a light stepcoming toward my door,392,16623,"I had been walking for a very short time when I heard a light stepcoming toward my door.
"
I knew it was Usher,393,16712," I knew it was Usher.
"
In a moment I saw himat my door,394,16734," In a moment I saw himat my door,"
as usual very white,395,16767," as usual very white,"
but there was a wild laugh in his eyes,396,16788," but there was a wild laugh in his eyes.
"
Even so,397,16829,"Even so,"
I was glad to have his company,398,16837," I was glad to have his company.
"
“And have you not seen it?”he said,399,16870," “And have you not seen it?”he said.
"
He hurried to one of the windows and opened it to the storm,400,16907," He hurried to one of the windows and opened it to the storm.
"
The force of the entering wind nearly lifted us from our feet,401,16969,"The force of the entering wind nearly lifted us from our feet.
"
Itwas,402,17032," Itwas,"
indeed,403,17039," indeed,"
a stormy but beautiful night,404,17047," a stormy but beautiful night,"
and wildly strange,405,17077," and wildly strange.
"
Theheavy,406,17098," Theheavy,"
low-hanging clouds which seemed to press down upon thehouse,407,17108," low-hanging clouds which seemed to press down upon thehouse,"
flew from all directions against each other,408,17169," flew from all directions against each other,"
always returningand never passing away in the distance,409,17214," always returningand never passing away in the distance.
"
With their great thicknessthey cut off all light from the moon and the stars,410,17271," With their great thicknessthey cut off all light from the moon and the stars.
"
But we could seethem because they were lighted from below by the air itself,411,17350," But we could seethem because they were lighted from below by the air itself,"
which wecould see,412,17427," which wecould see,"
rising from the dark lake and from the stones of the houseitself,413,17446," rising from the dark lake and from the stones of the houseitself.
"
“You must not — you shall not look out at this!” I said to Usher,414,17513,"“You must not — you shall not look out at this!” I said to Usher,"
as I led him from the window to a seat,415,17578,"as I led him from the window to a seat.
"
“This appearance which sur-prises you so has been seen in other places,416,17618," “This appearance which sur-prises you so has been seen in other places,"
too,417,17690," too.
"
Perhaps the lake isthe cause,418,17696," Perhaps the lake isthe cause.
"
Let us close this window,419,17727, Let us close this window;
the air is cold,420,17753," the air is cold.
"
Here is one of thestories you like best,421,17771," Here is one of thestories you like best.
"
I will read and you shall listen and thus we willlive through this fearful night together,422,17813," I will read and you shall listen and thus we willlive through this fearful night together.
"
”The old book which I had picked up was one written by a foolfor fools to read,423,17905,"”The old book which I had picked up was one written by a foolfor fools to read,"
and it was not,424,17984," and it was not,"
in truth,425,18000," in truth,"
one that Usher liked,426,18010," one that Usher liked.
"
It was,427,18033," It was,"
however,428,18041,"however,"
the only one within easy reach,429,18049," the only one within easy reach.
"
He seemed to listen quietly,430,18082," He seemed to listen quietly.
"
Then I came to a part of the story in which a man,431,18112,"Then I came to a part of the story in which a man,"
a strong man fullof wine,432,18162," a strong man fullof wine,"
begins to break down a door,433,18188," begins to break down a door,"
and the sound of the dry woodas it breaks can be heard through all the forest around him,434,18217," and the sound of the dry woodas it breaks can be heard through all the forest around him.
"
Here I stopped,435,18308,"Here I stopped,"
for it seemed to me that from some very distantpart of the house sounds came to my ears like those of which I hadbeen reading,436,18323," for it seemed to me that from some very distantpart of the house sounds came to my ears like those of which I hadbeen reading.
"
It must have been this likeness that had made me noticethem,437,18451," It must have been this likeness that had made me noticethem,"
for the sounds themselves,438,18512," for the sounds themselves,"
with the storm still increasing,439,18539," with the storm still increasing,"
werenothing to stop or interest me,440,18572," werenothing to stop or interest me.
"
I continued the story,441,18609,"I continued the story,"
and read how the man,442,18631," and read how the man,"
now enteringthrough the broken door,443,18653," now enteringthrough the broken door,"
discovers a strange and terrible animal ofthe kind so often found in these old stories,444,18690," discovers a strange and terrible animal ofthe kind so often found in these old stories.
"
He strikes it and it falls,445,18779," He strikes it and it falls,"
with such a cry that he has to close his ears with his hands,446,18807,"with such a cry that he has to close his ears with his hands.
"
Here againI stopped,447,18869," Here againI stopped.
"
There could be no doubt,448,18891,"There could be no doubt.
"
This time I did hear a distant sound,449,18916," This time I did hear a distant sound,"
very much like the cry of the animal in the story,450,18954,"very much like the cry of the animal in the story.
"
I tried to controlmyself so that my friend would see nothing of what I felt,451,19005," I tried to controlmyself so that my friend would see nothing of what I felt.
"
I was notcertain that he had heard the sound,452,19083," I was notcertain that he had heard the sound,"
although he had clearly changedin some way,453,19129," although he had clearly changedin some way.
"
He had slowly moved his chair so that I could not seehim well,454,19174," He had slowly moved his chair so that I could not seehim well.
"
I did see that his lips were moving as if he were speaking tohimself,455,19238," I did see that his lips were moving as if he were speaking tohimself.
"
His head had dropped forward,456,19309," His head had dropped forward,"
but I knew he was not asleep,457,19339," but I knew he was not asleep,"
