phrase,id,position,corresponding_text
Quand j'ai dessiné les baobabs j'ai été animé par le sentiment de l'urgence,427,16856," Quand j'ai dessiné les baobabs j'ai été animé par le sentiment de l'urgence.


"
Chapitre 6,428,16936,"Chapitre 6

"
Ah ! petit prince,429,16948,"Ah ! petit prince,"
j'ai compris,430,16966," j'ai compris,"
peu à peu,431,16980," peu à peu,"
ainsi,432,16991," ainsi,"
ta petite vie mélancolique,433,16998, ta petite vie mélancolique.
Tu n'avais eu longtemps pour distraction que la douceur des couchers de soleil,434,17026, Tu n'avais eu longtemps pour distraction que la douceur des couchers de soleil.
J'ai appris ce détail nouveau,435,17106," J'ai appris ce détail nouveau,"
le quatrième jour au matin,436,17137," le quatrième jour au matin,"
quand tu m'a dit :,437,17165," quand tu m'a dit :

"
J'aime bien les couchers de soleil,438,17186,J'aime bien les couchers de soleil.
Allons voir un coucher de soleil...,439,17221," Allons voir un coucher de soleil...

"
- Mais il faut attendre...,440,17259,"- Mais il faut attendre...

"
- Attendre quoi ?,441,17287,"- Attendre quoi ?

"
- Attendre que le soleil se couche,442,17306,"- Attendre que le soleil se couche.

"
Tu as eu J'air très surpris d'abord,443,17343,"Tu as eu J'air très surpris d'abord,"
et puis tu as ri de toi-même,444,17379, et puis tu as ri de toi-même.
Et tu m'as dit :,445,17409," Et tu m'as dit :

"
- Je me crois toujours chez moi,446,17428,"- Je me crois toujours chez moi

"
En effet,447,17461,En effet.
Quand il est midi aux États-Unis,448,17470," Quand il est midi aux États-Unis,"
le soleil,449,17504," le soleil,"
tout le monde le sait,450,17515," tout le monde le sait,"
se couche sur la France,451,17538, se couche sur la France.
Il suffirait de pouvoir aller en France en une minute pour assister au coucher de soleil,452,17563, Il suffirait de pouvoir aller en France en une minute pour assister au coucher de soleil.
Malheureusement la France est bien trop éloignée,453,17653, Malheureusement la France est bien trop éloignée.
Mais,454,17703," Mais,"
sur ta si petite planète,455,17709," sur ta si petite planète,"
il te suffisait de tirer ta chaise de quelques pas,456,17735, il te suffisait de tirer ta chaise de quelques pas.
Et tu regardais le crépuscule chaque fois que tu le désirais...,457,17787," Et tu regardais le crépuscule chaque fois que tu le désirais...

"
- Un jour,458,17853,"- Un jour,"
j'ai vu le soleil se coucher quarante-trois fois !,459,17863," j'ai vu le soleil se coucher quarante-trois fois !

"
Et un peu plus tard tu ajoutais,460,17916,"Et un peu plus tard tu ajoutais

"
Tu sais... quand on est tellement triste on aime les couchers de soleil...,461,17949,"Tu sais... quand on est tellement triste on aime les couchers de soleil...

"
- Le jour des quarante-trois fois tu étais donc tellement triste ?,462,18025,"- Le jour des quarante-trois fois tu étais donc tellement triste ?

"
Mais le petit prince ne répondit pas,463,18093,"Mais le petit prince ne répondit pas.


"
Chapitre 7,464,18133,"Chapitre 7

"
Le cinquième jour,465,18145,"Le cinquième jour,"
toujours grâce au mouton,466,18163," toujours grâce au mouton,"
ce secret de la vie du petit prince me fut révélé,467,18189, ce secret de la vie du petit prince me fut révélé.
Il me demanda avec brusquerie,468,18240," Il me demanda avec brusquerie,"
sans préambule,469,18271," sans préambule,"
comme le fruit d'un problème longtemps médité en silence :,470,18287," comme le fruit d'un problème longtemps médité en silence :

"
- Un mouton,471,18348,"- Un mouton,"
s'il mange les arbustes,472,18360," s'il mange les arbustes,"
il mange aussi les fleurs ?,473,18385," il mange aussi les fleurs ?

"
